"EXTF";700;21;"Buchungsstapel";12;20260812090000000;;"RE";"";"";12345;67890;20250101;4;20250101;20251231;"Demo 2025";"MF";1;0;0;"EUR";;"";;;"";;"";;""
"Umsatz (ohne Soll/Haben-Kz)";"Soll/Haben-Kennzeichen";"WKZ Umsatz";"Kurs";"Basis-Umsatz";"WKZ Basis-Umsatz";"Konto";"Gegenkonto (ohne BU-Schlüssel)";"BU-Schlüssel";"Belegdatum";"Belegfeld 1";"Belegfeld 2";"Skonto";"Buchungstext";"KOST1-Kostenstelle";"KOST2-Kostenstelle"
6500,00;"S";"EUR";;;;4120;1200;"";2805;"";"";;"Gehälter 05/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";105;"";"";;"Miete Büro 05/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";505;"LEAS-05";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2806;"";"";;"Gehälter 06/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";106;"";"";;"Miete Büro 06/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";506;"LEAS-06";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2807;"";"";;"Gehälter 07/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";107;"";"";;"Miete Büro 07/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";507;"LEAS-07";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2808;"";"";;"Gehälter 08/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";108;"";"";;"Miete Büro 08/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";508;"LEAS-08";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2809;"";"";;"Gehälter 09/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";109;"";"";;"Miete Büro 09/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";509;"LEAS-09";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2810;"";"";;"Gehälter 10/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";110;"";"";;"Miete Büro 10/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";510;"LEAS-10";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2811;"";"";;"Gehälter 11/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";111;"";"";;"Miete Büro 11/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";511;"LEAS-11";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2812;"";"";;"Gehälter 12/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";112;"";"";;"Miete Büro 12/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";512;"LEAS-12";"";;"Kfz-Leasing";"";""
2000,00;"S";"EUR";;;;4210;1200;"";507;"M-07b";"";;"Miete doppelt erfasst";"";""
2000,00;"S";"EUR";;;;4210;1200;"20";607;"M-07b";"";;"Storno Miete doppelt";"";""
83,30;"S";"EUR";;;;4920;1200;"9";1201;"TEL-01";"";;"Telefon/Internet 01";"";""
85,68;"S";"EUR";;;;4920;1200;"9";1202;"TEL-02";"";;"Telefon/Internet 02";"";""
84,49;"S";"EUR";;;;4920;1200;"9";1203;"TEL-03";"";;"Telefon/Internet 03";"";""
86,87;"S";"EUR";;;;4920;1200;"9";1204;"TEL-04";"";;"Telefon/Internet 04";"";""
83,30;"S";"EUR";;;;4920;1200;"9";1205;"TEL-05";"";;"Telefon/Internet 05";"";""
88,06;"S";"EUR";;;;4920;1200;"9";1206;"TEL-06";"";;"Telefon/Internet 06";"";""
84,49;"S";"EUR";;;;4920;1200;"9";1207;"TEL-07";"";;"Telefon/Internet 07";"";""
85,68;"S";"EUR";;;;4920;1200;"9";1208;"TEL-08";"";;"Telefon/Internet 08";"";""
83,30;"S";"EUR";;;;4920;1200;"9";1209;"TEL-09";"";;"Telefon/Internet 09";"";""
86,87;"S";"EUR";;;;4920;1200;"9";1210;"TEL-10";"";;"Telefon/Internet 10";"";""
84,49;"S";"EUR";;;;4920;1200;"9";1211;"TEL-11";"";;"Telefon/Internet 11";"";""
85,68;"S";"EUR";;;;4920;1200;"9";1212;"TEL-12";"";;"Telefon/Internet 12";"";""
4522,00;"S";"EUR";;;;4920;1200;"9";1512;"";"";;"Nachzahlung Telekom Streitfall";"";""
84,49;"S";"EUR";;;;4920;1200;"";806;"TEL-06b";"";;"Telefon Juni ohne Schlüssel";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2001;"WK-01";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2002;"WK-02";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2003;"WK-03";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2004;"WK-04";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2005;"WK-05";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2006;"WK-06";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2007;"WK-07";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2008;"WK-08";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2009;"WK-09";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2010;"WK-10";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"9";2011;"WK-11";"";;"Anzeigenschaltung Regionalblatt";"";""
250,00;"S";"EUR";;;;4600;70003;"8";2410;"WK-10b";"";;"Anzeige Sonderformat";"";""
1300,00;"S";"EUR";;;;4600;70003;"9";512;"WK-12a";"";;"Kampagne Winter";"";""
1300,00;"S";"EUR";;;;4600;70003;"9";1312;"WK-12b";"";;"Kampagne Winter";"";""
1300,00;"S";"EUR";;;;4600;70003;"9";2112;"WK-12c";"";;"Kampagne Winter";"";""
380,50;"S";"EUR";;;;1000;8404;"";301;"";"";;"Bareinnahmen Ladengeschäft";"";""
417,50;"S";"EUR";;;;1000;8404;"";1001;"";"";;"Bareinnahmen Ladengeschäft";"";""
454,50;"S";"EUR";;;;1000;8404;"";1701;"";"";;"Bareinnahmen Ladengeschäft";"";""
491,50;"S";"EUR";;;;1000;8404;"";2401;"";"";;"Bareinnahmen Ladengeschäft";"";""
388,50;"S";"EUR";;;;1000;8404;"";3101;"";"";;"Bareinnahmen Ladengeschäft";"";""
425,50;"S";"EUR";;;;1000;8404;"";702;"";"";;"Bareinnahmen Ladengeschäft";"";""
462,50;"S";"EUR";;;;1000;8404;"";1402;"";"";;"Bareinnahmen Ladengeschäft";"";""
499,50;"S";"EUR";;;;1000;8404;"";2102;"";"";;"Bareinnahmen Ladengeschäft";"";""
396,50;"S";"EUR";;;;1000;8404;"";2802;"";"";;"Bareinnahmen Ladengeschäft";"";""
433,50;"S";"EUR";;;;1000;8404;"";703;"";"";;"Bareinnahmen Ladengeschäft";"";""
470,50;"S";"EUR";;;;1000;8404;"";1403;"";"";;"Bareinnahmen Ladengeschäft";"";""
507,50;"S";"EUR";;;;1000;8404;"";2103;"";"";;"Bareinnahmen Ladengeschäft";"";""
404,50;"S";"EUR";;;;1000;8404;"";2803;"";"";;"Bareinnahmen Ladengeschäft";"";""
441,50;"S";"EUR";;;;1000;8404;"";404;"";"";;"Bareinnahmen Ladengeschäft";"";""
478,50;"S";"EUR";;;;1000;8404;"";1104;"";"";;"Bareinnahmen Ladengeschäft";"";""
515,50;"S";"EUR";;;;1000;8404;"";1804;"";"";;"Bareinnahmen Ladengeschäft";"";""
412,50;"S";"EUR";;;;1000;8404;"";2504;"";"";;"Bareinnahmen Ladengeschäft";"";""
449,50;"S";"EUR";;;;1000;8404;"";105;"";"";;"Bareinnahmen Ladengeschäft";"";""
486,50;"S";"EUR";;;;1000;8404;"";905;"";"";;"Bareinnahmen Ladengeschäft";"";""
383,50;"S";"EUR";;;;1000;8404;"";1605;"";"";;"Bareinnahmen Ladengeschäft";"";""
420,50;"S";"EUR";;;;1000;8404;"";2305;"";"";;"Bareinnahmen Ladengeschäft";"";""
457,50;"S";"EUR";;;;1000;8404;"";3005;"";"";;"Bareinnahmen Ladengeschäft";"";""
494,50;"S";"EUR";;;;1000;8404;"";606;"";"";;"Bareinnahmen Ladengeschäft";"";""
391,50;"S";"EUR";;;;1000;8404;"";1306;"";"";;"Bareinnahmen Ladengeschäft";"";""
428,50;"S";"EUR";;;;1000;8404;"";2006;"";"";;"Bareinnahmen Ladengeschäft";"";""
465,50;"S";"EUR";;;;1000;8404;"";2706;"";"";;"Bareinnahmen Ladengeschäft";"";""
502,50;"S";"EUR";;;;1000;8404;"";407;"";"";;"Bareinnahmen Ladengeschäft";"";""
399,50;"S";"EUR";;;;1000;8404;"";1307;"";"";;"Bareinnahmen Ladengeschäft";"";""
436,50;"S";"EUR";;;;1000;8404;"";1807;"";"";;"Bareinnahmen Ladengeschäft";"";""
473,50;"S";"EUR";;;;1000;8404;"";2507;"";"";;"Bareinnahmen Ladengeschäft";"";""
510,50;"S";"EUR";;;;1000;8404;"";108;"";"";;"Bareinnahmen Ladengeschäft";"";""
407,50;"S";"EUR";;;;1000;8404;"";808;"";"";;"Bareinnahmen Ladengeschäft";"";""
444,50;"S";"EUR";;;;1000;8404;"";1508;"";"";;"Bareinnahmen Ladengeschäft";"";""
481,50;"S";"EUR";;;;1000;8404;"";1010;"";"";;"Bareinnahmen Ladengeschäft";"";""
518,50;"S";"EUR";;;;1000;8404;"";1710;"";"";;"Bareinnahmen Ladengeschäft";"";""
415,50;"S";"EUR";;;;1000;8404;"";2410;"";"";;"Bareinnahmen Ladengeschäft";"";""
452,50;"S";"EUR";;;;1000;8404;"";3110;"";"";;"Bareinnahmen Ladengeschäft";"";""
489,50;"S";"EUR";;;;1000;8404;"";711;"";"";;"Bareinnahmen Ladengeschäft";"";""
386,50;"S";"EUR";;;;1000;8404;"";1411;"";"";;"Bareinnahmen Ladengeschäft";"";""
423,50;"S";"EUR";;;;1000;8404;"";2111;"";"";;"Bareinnahmen Ladengeschäft";"";""
460,50;"S";"EUR";;;;1000;8404;"";2811;"";"";;"Bareinnahmen Ladengeschäft";"";""
497,50;"S";"EUR";;;;1000;8404;"";512;"";"";;"Bareinnahmen Ladengeschäft";"";""
394,50;"S";"EUR";;;;1000;8404;"";1212;"";"";;"Bareinnahmen Ladengeschäft";"";""
431,50;"S";"EUR";;;;1000;8404;"";1912;"";"";;"Bareinnahmen Ladengeschäft";"";""
468,50;"S";"EUR";;;;1000;8404;"";2612;"";"";;"Bareinnahmen Ladengeschäft";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2801;"EZ-01";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2802;"EZ-02";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2803;"EZ-03";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2804;"EZ-04";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2805;"EZ-05";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2806;"EZ-06";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2807;"EZ-07";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2810;"EZ-10";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2811;"EZ-11";"";;"Bareinzahlung Bank";"";""
1300,00;"S";"EUR";;;;1200;1000;"";2812;"EZ-12";"";;"Bareinzahlung Bank";"";""
60,00;"S";"EUR";;;;4930;1000;"";1001;"BAR-01";"";;"Büromaterial bar";"";""
55,00;"S";"EUR";;;;4930;1000;"";1002;"BAR-02";"";;"Büromaterial bar";"";""
70,00;"S";"EUR";;;;4930;1000;"";1004;"BAR-04";"";;"Büromaterial bar";"";""
45,00;"S";"EUR";;;;4930;1000;"";1005;"BAR-05";"";;"Büromaterial bar";"";""
80,00;"S";"EUR";;;;4930;1000;"";1006;"BAR-06";"";;"Büromaterial bar";"";""
65,00;"S";"EUR";;;;4930;1000;"";1007;"BAR-07";"";;"Büromaterial bar";"";""
50,00;"S";"EUR";;;;4930;1000;"";1011;"BAR-11";"";;"Büromaterial bar";"";""
75,00;"S";"EUR";;;;4930;1000;"";1012;"BAR-12";"";;"Büromaterial bar";"";""
4500,00;"S";"EUR";;;;4930;1000;"";1503;"BAR-M1";"";;"Messestand Sonderaktion bar";"";""
1000,00;"S";"EUR";;;;1000;1200;"";2003;"";"";;"Bareinzahlung vom Geschäftskonto";"";""
476,00;"S";"EUR";;;;4650;1000;"9";1105;"BW-01";"";;"Bewirtung Mandanten";"";""
520,00;"S";"EUR";;;;8404;1000;"";1511;"";"";;"Rückerstattung Barverkauf";"";""
800,00;"S";"EUR";;;;4120;1000;"";2506;"LO-06";"";;"Aushilfslohn bar";"";""
214,00;"S";"EUR";;;;1000;8400;"8";512;"BAR-S1";"";;"Barverkauf Sonderposten";"";""
500,00;"S";"EUR";;;;1360;1000;"";3012;"";"";;"Einzahlung unterwegs";"";""
50,00;"S";"EUR";;;;4980;1000;"";3002;"BAR-X";"";;"Kleinmaterial";"";""
3000,00;"S";"EUR";;;;4832;320;"";3112;"";"";;"AfA Pkw";"";""
1600,00;"S";"EUR";;;;4830;65;"";3112;"";"";;"AfA Grundstück";"";""
476,00;"S";"EUR";;;;400;1200;"9";405;"AR-401";"";;"Schreibtisch";"";""
1190,00;"S";"EUR";;;;480;70001;"9";1006;"ER-2410";"";;"Werkbank";"";""
892,50;"S";"EUR";;;;480;70001;"9";511;"ER-2501";"";;"Regalsystem Teil 1";"";""
856,80;"S";"EUR";;;;480;70001;"9";1211;"ER-2502";"";;"Regalsystem Teil 2";"";""
28560,00;"S";"EUR";;;;4800;70001;"9";1509;"ER-2450";"";;"Generalüberholung CNC-Maschine";"";""
2261,00;"S";"EUR";;;;4930;1200;"9";2006;"AR-777";"";;"Armbanduhr Jubiläum Geschäftsführer";"";""
1800,00;"S";"EUR";;;;4260;1200;"";807;"HW-19";"";;"Dachreparatur EFH Musterweg 3";"";""
5000,00;"S";"EUR";;;;4900;1200;"";1103;"";"";;"Beratung pauschal lt. Absprache";"";""
1190,00;"S";"EUR";;;;4360;1200;"9";104;"VS-01";"";;"Betriebshaftpflicht";"";""
250,00;"S";"EUR";;;;1576;1200;"";1507;"";"";;"VSt-Korrektur manuell";"";""
1160,00;"S";"EUR";;;;10001;8500;"5";509;"RE2025-S01";"";;"Sonderposten Provision";"";""
119,00;"S";"EUR";;;;4980;1200;"6";206;"ER-9";"";;"Sonstiger Betriebsbedarf";"";""
200,00;"S";"EUR";;;;8100;10001;"";3011;"";"";;"Korrektur Erlöse";"";""
750,00;"S";"EUR";;;;1590;1200;"";1109;"";"";;"Durchlaufender Posten Gericht";"";""
89,25;"S";"EUR";;;;4630;1200;"9";1012;"GS-01";"";;"Geschenk Kunde Weihnachten";"";""
238,00;"S";"EUR";;;;4900;1200;"";808;"BG-01";"";;"Bußgeld Falschparken Firmenwagen";"";""
7000,00;"S";"EUR";;;;1530;1200;"";401;"GD-01";"";;"Darlehen an Gesellschafter";"";""
1000,00;"S";"EUR";;;;800;1200;"";1506;"EK-01";"";;"Kapitalübertrag lt. Absprache";"";""
0,00;"S";"EUR";;;;4980;1200;"";601;"SYS-0";"";;"Nullbuchung Systemtest";"";""
1500,00;"S";"EUR";;;;2200;1200;"";1003;"FA-KSt-1";"";;"KSt-Vorauszahlung Q1";"";""
1500,00;"S";"EUR";;;;2200;1200;"";1006;"FA-KSt-2";"";;"KSt-Vorauszahlung Q2";"";""
1500,00;"S";"EUR";;;;2200;1200;"";1009;"FA-KSt-3";"";;"KSt-Vorauszahlung Q3";"";""
1500,00;"S";"EUR";;;;2200;1200;"";1012;"FA-KSt-4";"";;"KSt-Vorauszahlung Q4";"";""
2500,00;"S";"EUR";;;;1800;1200;"";2912;"";"";;"Privatentnahme";"";""
1800,00;"S";"EUR";;;;1800;1200;"";3012;"";"";;"Privatentnahme";"";""
2200,00;"S";"EUR";;;;1800;1200;"";3112;"";"";;"Privatentnahme";"";""
